names                 |weights               |costs                 |unit_costs            
Неизвестно            |['АГК-0203']          |12.23                 |2018-12-06 09:28:05.266429
Неизвестно            |['АГК-0208']          |12.21                 |2018-12-06 09:28:05.520958
Неизвестно            |['АГК-0209']          |--.--                 |2018-12-06 09:28:05.784280
Неизвестно            |['АГК-0211']          |12.55                 |2018-12-06 09:28:06.037745
Неизвестно            |['АГК-0212']          |12.29                 |2018-12-06 09:28:06.305303
Неизвестно            |['АГК-0214']          |12.61                 |2018-12-06 09:28:06.579681
Неизвестно            |['АГК-0216']          |13.27                 |2018-12-06 09:28:06.838437
Анапа-                |['ЭМЕРСИТ-0027']      |13.75                 |2018-12-06 09:28:07.089577
Неизвестно            |['ЭМЕРСИТ-0164']      |13.39                 |2018-12-06 09:28:07.355765
Неизвестно            |['ЭМЕРСИТ-0206']      |13.18                 |2018-12-06 09:28:07.628506
Неизвестно            |['ЭМЕРСИТ-0207']      |13.09                 |2018-12-06 09:28:07.872736
Неизвестно            |['ЭМЕРСИТ-0213']      |--.--                 |2018-12-06 09:28:08.134985
Неизвестно            |['ЭМЕРСИТ-0215']      |13.14                 |2018-12-06 09:28:08.388598
Неизвестно            |['ЭМЕРСИТ-0217']      |13.17                 |2018-12-06 09:28:08.748119
Неизвестно            |['ЭМЕРСИТ-0218']      |13.22                 |2018-12-06 09:28:09.004092
Неизвестно            |['ЭМЕРСИТ-0220']      |13.81                 |2018-12-06 09:28:09.350480
Неизвестно            |['ЭМЕРСИТ-0221']      |13.78                 |2018-12-06 09:28:09.622934
Неизвестно            |['ЭМЕРСИТ-0222']      |14.01                 |2018-12-06 09:28:09.895779
Неизвестно            |['ЭМЕРСИТ-0223']      |14.04                 |2018-12-06 09:28:10.148612
Астраханьпорт         |['ЭМЕРСИТ-0224']      |13.88                 |2018-12-06 09:28:10.402713
Астраханьпорт         |['ЭМЕРСИТ-0225']      |13.41                 |2018-12-06 09:28:10.681295
Неизвестно            |['ЭМЕРСИТ-0226']      |--.--                 |2018-12-06 09:28:10.933949
Туапсепорт            |['ЭМЕРСИТ-0228']      |13.98                 |2018-12-06 09:28:11.178607
Неизвестно            |['ЭМЕРСИТ-0230']      |--.--                 |2018-12-06 09:28:11.422354
Неизвестно            |['ЭМЕРСИТ-0231']      |12.20                 |2018-12-06 09:28:11.694545
Неизвестно            |['ЭМЕРСИТ-0232']      |13.71                 |2018-12-06 09:28:11.959710
Неизвестно            |['ЭМЕРСИТ-0234']      |--.--                 |2018-12-06 09:28:12.187067
Неизвестно            |['ЭМЕРСИТ-0237']      |12.86                 |2018-12-06 09:28:12.430424
Ростов                |['ЭМЕРСИТ-0238']      |11.36                 |2018-12-06 09:28:12.695506
Ростов                |['ЭМЕРСИТ-0239']      |12.33                 |2018-12-06 09:28:12.967166
Ростов                |['ЭМЕРСИТ-0240']      |--.--                 |2018-12-06 09:28:13.213464
Ростов                |['ЭМЕРСИТ-0241']      |11.94                 |2018-12-06 09:28:13.472653
Неизвестно            |['ЭМЕРСИТ-0243']      |--.--                 |2018-12-06 09:28:13.724797
Неизвестно            |['ЭМЕРСИТ-0244']      |--.--                 |2018-12-06 09:28:13.995151
Неизвестно            |['ЭМЕРСИТ-0245']      |--.--                 |2018-12-06 09:28:14.242582
Неизвестно            |['ЭМЕРСИТ-0246']      |--.--                 |2018-12-06 09:28:14.482637
Неизвестно            |['ЭМЕРСИТ-0247']      |--.--                 |2018-12-06 09:28:14.728550
Неизвестно            |['ЭМЕРСИТ-0249']      |13.63                 |2018-12-06 09:28:14.987566
Неизвестно            |['ЭМЕРСИТ-0250']      |12.59                 |2018-12-06 09:28:15.277431
Апшеронский           |['ЭМЕРСИТ-0253М']     |12.63                 |2018-12-06 09:28:15.547756
Неизвестно            |['ЭМЕРСИТ-0254']      |11.27                 |2018-12-06 09:28:15.817198
Апшеронский           |['ЭМЕРСИТ-0254М']     |11.74                 |2018-12-06 09:28:16.074424
